"","ONTOLOGY","TERM","N","DE","P.DE","FDR"
"GO:0003939","MF","L-iditol 2-dehydrogenase (NAD+) activity",1,1,0.953827023625028,1
"GO:0003940","MF","L-iduronidase activity",1,1,0.960053254095941,1
"GO:0003941","MF","L-serine ammonia-lyase activity",3,3,0.868065051778607,1
"GO:0003943","MF","N-acetylgalactosamine-4-sulfatase activity",2,2,0.918448613837291,1
"GO:0003944","MF","N-acetylglucosamine-1-phosphodiester alpha-N-acetylglucosaminidase activity",1,1,0.954879544265902,1
"GO:0003945","MF","N-acetyllactosamine synthase activity",5,5,0.810477930222096,1
"GO:0003947","MF","(N-acetylneuraminyl)-galactosylglucosylceramide N-acetylgalactosaminyltransferase activity",1,1,0.960394512282321,1
"GO:0003948","MF","N4-(beta-N-acetylglucosaminyl)-L-asparaginase activity",1,1,0.956044003074939,1
"GO:0003950","MF","NAD+ poly-ADP-ribosyltransferase activity",23,23,0.369576853832962,1
"GO:0003951","MF","NAD+ kinase activity",2,2,0.921524754444829,1
"GO:0003952","MF","NAD+ synthase (glutamine-hydrolyzing) activity",1,1,0.960200575547874,1
"GO:0003953","MF","NAD+ nucleosidase activity",1,1,0.959493486162024,1
"GO:0003954","MF","NADH dehydrogenase activity",8,8,0.711185140007937,1
"GO:0003955","MF","NAD(P)H dehydrogenase (quinone) activity",5,4,0.98246147569976,1
"GO:0003957","MF","NAD(P)+ transhydrogenase (Si-specific) activity",1,1,0.959775193993963,1
"GO:0003958","MF","NADPH-hemoprotein reductase activity",3,3,0.879538014046343,1
"GO:0003959","MF","NADPH dehydrogenase activity",8,7,0.954257588934919,1
"GO:0003960","MF","quinone reductase (NADPH) activity",4,3,0.98786369697375,1
"GO:0003963","MF","RNA-3'-phosphate cyclase activity",1,1,0.957410922002745,1
"GO:0003964","MF","RNA-directed DNA polymerase activity",7,7,0.747258327288782,1
"GO:0003968","MF","RNA-directed RNA polymerase activity",3,3,0.881037855552152,1
"GO:0003972","MF","RNA ligase (ATP) activity",1,1,0.959327454216356,1
"GO:0003973","MF","(S)-2-hydroxy-acid oxidase activity",2,2,0.90221031784584,1
"GO:0003974","MF","UDP-N-acetylglucosamine 4-epimerase activity",1,1,0.960386642015696,1
"GO:0003975","MF","UDP-N-acetylglucosamine-dolichyl-phosphate N-acetylglucosaminephosphotransferase activity",1,1,0.960227477181344,1
"GO:0003976","MF","UDP-N-acetylglucosamine-lysosomal-enzyme N-acetylglucosaminephosphotransferase activity",2,2,0.918489614045719,1
"GO:0003977","MF","UDP-N-acetylglucosamine diphosphorylase activity",2,2,0.918083293365842,1
"GO:0003978","MF","UDP-glucose 4-epimerase activity",1,1,0.960386642015696,1
"GO:0003979","MF","UDP-glucose 6-dehydrogenase activity",1,1,0.958340113179669,1
"GO:0003980","MF","UDP-glucose:glycoprotein glucosyltransferase activity",2,2,0.920696581159423,1
"GO:0003983","MF","UTP:glucose-1-phosphate uridylyltransferase activity",1,1,0.960378140065147,1
"GO:0003984","MF","acetolactate synthase activity",1,1,0.955931814112918,1
