"","Description","N","DE","P.DE","FDR"
"hsa04530","Tight junction",163,161,0.0315609659670937,0.170154773039983
"hsa04540","Gap junction",88,87,0.111676610322232,0.338902886367509
"hsa04550","Signaling pathways regulating pluripotency of stem cells",140,139,0.0191595491910731,0.127725721353228
"hsa04610","Complement and coagulation cascades",79,78,0.133032750867754,0.374910479718217
"hsa04611","Platelet activation",125,125,0.00491643809512082,0.0589972571414498
"hsa04612","Antigen processing and presentation",62,60,0.47980868659587,0.71739585298794
"hsa04613","Neutrophil extracellular trap formation",168,161,0.523773615730294,0.755208469192517
"hsa04614","Renin-angiotensin system",20,19,0.778703314112829,0.927748845341718
"hsa04620","Toll-like receptor signaling pathway",98,97,0.0668196715958751,0.262259059750152
"hsa04621","NOD-like receptor signaling pathway",168,164,0.137925406842532,0.37720842316708
"hsa04622","RIG-I-like receptor signaling pathway",65,62,0.680911197406284,0.858640560797077
"hsa04623","Cytosolic DNA-sensing pathway",76,73,0.554337741102555,0.763754221074631
"hsa04625","C-type lectin receptor signaling pathway",104,102,0.181261436054138,0.443613514553549
"hsa04630","JAK-STAT signaling pathway",153,149,0.200363298289962,0.472966042484512
"hsa04640","Hematopoietic cell lineage",89,88,0.0957657066187892,0.309781242279909
"hsa04650","Natural killer cell mediated cytotoxicity",113,109,0.427513748149404,0.683010660175013
"hsa04657","IL-17 signaling pathway",90,90,0.0191460653380945,0.127725721353228
"hsa04658","Th1 and Th2 cell differentiation",85,84,0.123558131200074,0.361918305562422
"hsa04659","Th17 cell differentiation",100,99,0.0724364561238043,0.267329399886806
"hsa04660","T cell receptor signaling pathway",118,116,0.121509524132351,0.358742404581228
"hsa04662","B cell receptor signaling pathway",78,76,0.343557839004238,0.591682944951743
"hsa04664","Fc epsilon RI signaling pathway",67,67,0.0552596889242798,0.230973081795866
"hsa04666","Fc gamma R-mediated phagosome formation",94,93,0.0903959027544569,0.301233561227493
"hsa04668","TNF signaling pathway",115,113,0.135508748142136,0.37720842316708
